subj	trial	chimera	identity	orientation	rt	acc	group
6	13	L_R	self	upright	785.3	1	cg
6	14	R_L	other	upright	895.6	1	cg
6	15	L_R	self	upright	775.1	1	cg
6	16	R_R	self	upright	704.5	1	cg
6	17	L_L	self	upright	755	1	cg
6	18	R_L	self	upright	764.9	1	cg
6	19	R_L	self	upright	564	1	cg
6	20	R_R	self	upright	664.2	1	cg
6	21	L_R	other	upright	664.4	1	cg
6	22	R_R	self	upright	674.4	1	cg
6	23	L_R	other	upright	895.6	1	cg
6	24	L_L	other	upright	1046.2	1	cg
6	25	R_R	other	upright	794.9	1	cg
6	26	L_R	other	upright	784.8	1	cg
6	27	R_L	self	upright	463.4	1	cg
6	28	L_L	other	upright	634.5	1	cg
6	29	R_L	other	upright	965.9	1	cg
6	30	R_L	other	upright	634.5	1	cg
6	31	L_R	self	upright	694.5	1	cg
6	32	R_L	self	upright	1518.6	1	cg
6	33	R_R	other	upright	815	1	cg
6	34	L_R	other	upright	684.7	1	cg
6	35	R_R	other	upright	412.9	1	cg
6	36	L_R	other	upright	644	1	cg
6	37	L_L	other	upright	684.5	1	cg
6	38	L_R	other	upright	1126.8	1	cg
6	39	L_R	other	upright	815	1	cg
6	40	L_R	self	upright	594.7	1	cg
6	41	R_R	self	upright	684.4	1	cg
6	42	L_L	other	upright	704.5	1	cg
6	43	L_L	other	upright	744.7	1	cg
6	44	R_L	self	upright	603.9	1	cg
6	45	R_R	self	upright	644.1	1	cg
6	46	R_L	self	upright	614	1	cg
6	47	L_R	self	upright	684.5	1	cg
6	48	L_L	self	upright	845.2	1	cg
6	49	R_L	other	upright	1005.9	1	cg
6	50	R_R	self	upright	674.6	1	cg
6	51	R_L	self	upright	825.3	1	cg
6	52	L_L	other	upright	724.6	1	cg
6	53	R_R	other	upright	885.3	1	cg
6	54	L_R	self	upright	955.8	1	cg
6	55	R_R	other	upright	714.7	1	cg
6	56	R_L	self	upright	694.6	1	cg
6	57	L_L	self	upright	794.8	1	cg
6	58	L_L	other	upright	865.2	1	cg
6	59	R_L	self	upright	664.8	1	cg
6	60	L_R	self	upright	714.5	1	cg
6	61	R_L	other	upright	614	1	cg
6	62	L_L	other	upright	604.2	1	cg
6	63	R_L	other	upright	634.3	1	cg
6	64	L_R	other	upright	945.7	1	cg
6	65	R_R	other	upright	1317.9	1	cg
6	66	R_R	self	upright	583.9	1	cg
6	67	R_L	self	upright	744.7	1	cg
6	68	L_R	self	upright	764.8	1	cg
6	69	L_L	self	upright	996	1	cg
6	70	L_L	self	upright	704.5	1	cg
6	71	R_R	other	upright	1016	1	cg
6	72	L_L	self	upright	885.6	1	cg
6	73	L_L	self	upright	734.8	1	cg
6	74	L_L	self	upright	613.9	1	cg
6	75	L_L	other	upright	694.2	1	cg
6	76	R_R	self	upright	755.1	1	cg
6	77	R_R	self	upright	654.2	1	cg
6	78	L_R	other	upright	644.1	1	cg
6	79	L_L	self	upright	996	1	cg
6	80	R_R	other	upright	795	1	cg
6	81	L_L	other	inverted	1116.9	1	cg
6	82	R_L	other	inverted	935.7	1	cg
6	83	R_R	self	inverted	543.9	1	cg
6	84	L_R	other	inverted	815.6	1	cg
6	85	R_R	self	inverted	654.2	1	cg
6	86	R_L	other	inverted	594	1	cg
6	87	R_R	other	inverted	1186.8	1	cg
6	88	L_R	other	inverted	563.9	1	cg
6	89	R_R	other	inverted	664.4	1	cg
6	90	L_R	self	inverted	714.4	1	cg
6	91	R_R	self	inverted	654.4	1	cg
6	92	L_R	other	inverted	875.3	1	cg
6	93	L_R	self	inverted	654	1	cg
6	94	L_L	other	inverted	754.9	1	cg
6	95	R_R	other	inverted	724.6	1	cg
6	96	R_R	self	inverted	614.2	1	cg
6	97	R_L	other	inverted	704.4	1	cg
6	98	R_L	other	inverted	895.4	1	cg
